n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,sklearn,1,relu,0,0.7138343942586918,0.681329524140578,0.02798834204584516,0.02110256691448468,25,25,True
50000,100,0.01,sklearn,1,relu,1,0.6783844938681926,0.4998787486864441,0.028271080424287692,0.01032,25,25,True
50000,100,0.01,sklearn,1,relu,2,0.7607640806260964,0.7255339627118719,0.0489944149008829,0.03472078718037429,25,25,True
50000,100,0.01,sklearn,1,relu,3,0.4999189298743413,0.49995946493717064,0.0132,0.0132,25,25,True
50000,100,0.01,sklearn,1,relu,4,0.7531221828626762,0.6842208793245009,0.04711877363366019,0.028459628844991397,25,25,True
50000,100,0.01,sklearn,1,relu,5,0.49991912002588157,0.6069477087179097,0.01088,0.016695866737945417,25,25,True
50000,100,0.01,sklearn,1,relu,6,0.7232068017411927,0.6929413272597883,0.036697728813452735,0.031877501691630374,25,25,True
50000,100,0.01,sklearn,1,relu,7,0.7281896830530401,0.5035232662981693,0.03525074630733423,0.010971671406789715,25,25,True
50000,100,0.01,sklearn,1,relu,8,0.49995957636025545,0.5668847691748455,0.01048,0.01936642142614166,25,25,True
50000,100,0.01,sklearn,1,relu,9,0.7314278002699056,0.7256523616734142,0.06181964421781591,0.053652837898502566,25,25,True
50000,100,0.01,sklearn,5,relu,0,0.6481101286387085,0.5407635524464045,0.01842027812652839,0.012290281214654952,25,25,True
50000,100,0.01,sklearn,5,relu,1,0.5953702676740238,0.5581370283966189,0.015011197991749383,0.011514351434692966,25,25,True
50000,100,0.01,sklearn,5,relu,2,0.7038283867905908,0.47396994151968974,0.038332370037334085,0.01190454233318692,25,25,True
50000,100,0.01,sklearn,5,relu,3,0.6281767820073454,0.5017302330151945,0.020218034259745252,0.014370439364257121,25,25,True
50000,100,0.01,sklearn,5,relu,4,0.6942975027427608,0.49428217914588873,0.030850988528280648,0.011979930076584436,25,25,True
50000,100,0.01,sklearn,5,relu,5,0.6445200249300627,0.5110127600053286,0.01897990999213622,0.011566763899428885,25,25,True
50000,100,0.01,sklearn,5,relu,6,0.6475002131711338,0.44185898099371534,0.027660890331611218,0.012096036918615535,25,25,True
50000,100,0.01,sklearn,5,relu,7,0.6940840732682584,0.5120368056372261,0.025374363065079154,0.01282767648324094,25,25,True
50000,100,0.01,sklearn,5,relu,8,0.6161556316301713,0.45370814378966384,0.015288775784826271,0.009781001953406037,25,25,True
50000,100,0.01,sklearn,5,relu,9,0.648438326585695,0.5389943319838056,0.031442448731969296,0.018132870653007435,25,25,True
50000,100,0.01,sklearn,10,relu,0,0.587863086315149,0.5155554107193292,0.013945819780595817,0.012384965301872535,25,25,True
50000,100,0.01,sklearn,10,relu,1,0.5542074832425671,0.49103711543438366,0.013831087978072979,0.013178531833045057,25,25,True
50000,100,0.01,sklearn,10,relu,2,0.6711635741072162,0.5058480310298257,0.021589171959931756,0.015066333281472057,25,25,True
50000,100,0.01,sklearn,10,relu,3,0.6171652479394677,0.5230015599857513,0.01962568666518372,0.014308119898941742,25,25,True
50000,100,0.01,sklearn,10,relu,4,0.6121825855472399,0.48625250570695305,0.023239036829417983,0.011574768219316375,25,25,True
50000,100,0.01,sklearn,10,relu,5,0.6265670494985442,0.5326089025063276,0.020168145848522452,0.011900373314910985,25,25,True
50000,100,0.01,sklearn,10,relu,6,0.6185808004401783,0.48181341868044114,0.01783734847609416,0.011312961313584363,25,25,True
50000,100,0.01,sklearn,10,relu,7,0.5781323503469364,0.4980533831196832,0.016290890330948604,0.011197903683305425,25,25,True
50000,100,0.01,sklearn,10,relu,8,0.61141526557097,0.46276489055685255,0.017184415805204845,0.011455903028850373,25,25,True
50000,100,0.01,sklearn,10,relu,9,0.6273662618083671,0.5215762483130904,0.02046130440209977,0.014459263586115045,25,25,True
50000,100,0.01,sklearn,25,relu,0,0.569716917595429,0.4971684517731576,0.013182029907033169,0.010871397548860448,25,25,True
50000,100,0.01,sklearn,25,relu,1,0.5799754238939655,0.5189606349934425,0.014253557707616316,0.011031069230519362,25,25,True
50000,100,0.01,sklearn,25,relu,2,0.5938285198515927,0.4763705837607918,0.03274732314628167,0.01076195347008898,25,25,True
50000,100,0.01,sklearn,25,relu,3,0.6048981095920698,0.49417400596970923,0.020393309845642502,0.015228043197497494,25,25,True
50000,100,0.01,sklearn,25,relu,4,0.5606632400495789,0.46840268891087805,0.017927528804077622,0.010837890279083027,25,25,True
50000,100,0.01,sklearn,25,relu,5,0.5792891363921822,0.5091578729518336,0.014959267540590628,0.0117264933769002,25,25,True
50000,100,0.01,sklearn,25,relu,6,0.5981453306941228,0.45927305157561615,0.019174524746352818,0.010748199698316916,25,25,True
50000,100,0.01,sklearn,25,relu,7,0.6088169861617468,0.4878241502998942,0.019059196853165813,0.01072530567887347,25,25,True
50000,100,0.01,sklearn,25,relu,8,0.6074981840219855,0.45228189903470817,0.015083437601104746,0.009633150524535575,25,25,True
50000,100,0.01,sklearn,25,relu,9,0.6018240215924426,0.5117819163292847,0.01992479177525093,0.01242078743255649,25,25,True
