n,p,er,activation,sim,iter,auc_single,auc_multi,ap_single,ap_multi
50000,100,0.01,identity,0.0,0,0.7124757303412452,0.7068748361053059,0.02667821001808842,0.03204984998404085
50000,100,0.01,identity,0.0,1,0.7834457806109436,0.6500530435332945,0.04394722972969394,0.02313731885568272
50000,100,0.01,identity,0.0,2,0.7045471631916599,0.6122791922837031,0.02622769323877584,0.015286708103393547
50000,100,0.01,identity,0.0,3,0.7273726956837243,0.6810773245509985,0.03140650675523037,0.025986498914378594
50000,100,0.01,identity,0.0,4,0.7444679372357479,0.6724658328988242,0.030716537171683735,0.019660020693086186
50000,100,0.01,identity,0.0,5,0.7461745189391938,0.6104675471292266,0.027142669142421274,0.015547297069489463
50000,100,0.01,identity,0.0,6,0.7194704623692241,0.6884572092146746,0.043342660057477625,0.026134786889775677
50000,100,0.01,identity,0.0,7,0.7629219171133383,0.6291593110099796,0.06404784126910637,0.02701016506742024
50000,100,0.01,identity,0.0,8,0.7305420338617653,0.6604872958048457,0.04729893947168655,0.02850057280361892
50000,100,0.01,identity,0.0,9,0.7247047880944678,0.7090717595676251,0.03849878701644449,0.03294560354862326
50000,100,0.01,identity,0.0,10,0.7348784083456004,0.6299465467296348,0.04171771982965636,0.024056353336857742
50000,100,0.01,identity,0.0,11,0.7386128364389234,0.6586249714583318,0.030715605696642764,0.01730600376366106
50000,100,0.01,identity,0.0,12,0.7372919725998626,0.6508261415719674,0.032276259885083945,0.021070491216287568
50000,100,0.01,identity,0.0,13,0.7403607275204812,0.5993854587300795,0.044633547826499004,0.017938392206603544
50000,100,0.01,identity,0.0,14,0.7167076294887271,0.6656752644796828,0.0409118615815377,0.026813814174462557
50000,100,0.01,identity,0.0,15,0.7429390883921652,0.6774409340265004,0.05572951824574531,0.034478654081657484
50000,100,0.01,identity,0.0,16,0.7180639360035154,0.6700628695600119,0.03498091441282756,0.021771693185507077
50000,100,0.01,identity,0.0,17,0.6870654810024251,0.6551383620421616,0.021980347700736574,0.020336686823817056
50000,100,0.01,identity,0.0,18,0.7326093994661105,0.6863613872978317,0.03167884438586893,0.022139893102452367
50000,100,0.01,identity,0.0,19,0.7054225959465286,0.6279481016503979,0.03772463267796373,0.023001490771338864
50000,100,0.01,identity,0.0,20,0.7056583198707592,0.6267925417339795,0.030394549734286132,0.018973929476048344
50000,100,0.01,identity,0.0,21,0.7207379006150857,0.5862615103773245,0.04095388665388858,0.017568112471146955
50000,100,0.01,identity,0.0,22,0.7644993939393938,0.6170938181818182,0.03835127369576834,0.016423080206601784
50000,100,0.01,identity,0.0,23,0.760385957105282,0.6997164456240447,0.04027787784046321,0.027342323842753057
50000,100,0.01,identity,0.0,24,0.7329215993847438,0.6695805753489539,0.0526794526056865,0.023541663330560358
50000,100,0.01,identity,0.2,0,0.7124757303412452,0.7187202837397921,0.02667821001808842,0.032157899382919
50000,100,0.01,identity,0.2,1,0.7834457806109436,0.7022644231100618,0.04394722972969394,0.03211575921338327
50000,100,0.01,identity,0.2,2,0.7045471631916599,0.6544790831328522,0.02622769323877584,0.02100331276898902
50000,100,0.01,identity,0.2,3,0.7273726956837243,0.7055381738511561,0.03140650675523037,0.029986652035063684
50000,100,0.01,identity,0.2,4,0.7444679372357479,0.6974421490941405,0.030716537171683735,0.023574347295439335
50000,100,0.01,identity,0.2,5,0.7461745189391938,0.6749036351059043,0.027142669142421274,0.018749631865331427
50000,100,0.01,identity,0.2,6,0.7194704623692241,0.7084600274694959,0.043342660057477625,0.030574915940573013
50000,100,0.01,identity,0.2,7,0.7629219171133383,0.6898765694576104,0.06404784126910637,0.040327694814896786
50000,100,0.01,identity,0.2,8,0.7305420338617653,0.7019540419123944,0.04729893947168655,0.032159829384466036
50000,100,0.01,identity,0.2,9,0.7247047880944678,0.7186970711934078,0.03849878701644449,0.035919413519569614
50000,100,0.01,identity,0.2,10,0.7348784083456004,0.674511587519202,0.04171771982965636,0.03402296482992588
50000,100,0.01,identity,0.2,11,0.7386128364389234,0.7020775768957441,0.030715605696642764,0.02195545134784875
50000,100,0.01,identity,0.2,12,0.7372919725998626,0.684668880575731,0.032276259885083945,0.02485760708363864
50000,100,0.01,identity,0.2,13,0.7403607275204812,0.6691478887282516,0.044633547826499004,0.02386673342046316
50000,100,0.01,identity,0.2,14,0.7167076294887271,0.694127577694845,0.0409118615815377,0.034414301182289955
50000,100,0.01,identity,0.2,15,0.7429390883921652,0.7039541105003876,0.05572951824574531,0.05150756354371312
50000,100,0.01,identity,0.2,16,0.7180639360035154,0.7028924194258115,0.03498091441282756,0.03010125330488468
