n,p,n_dist,n_over,er,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi
50000,100,0,25,0.01,1,identity,0,0.7229198500462268,0.7294827415566515,0.03350225796245107,0.034928738819188856
50000,100,0,25,0.01,1,identity,1,0.646343558034271,0.6702161382557388,0.02956859235962751,0.030699726408213272
50000,100,0,25,0.01,1,identity,2,0.7277710624810838,0.738365983460945,0.04461729206218611,0.03168332546749439
50000,100,0,25,0.01,1,identity,3,0.7209095195335988,0.7206333818064308,0.027255270642007737,0.02797113910901939
50000,100,0,25,0.01,1,identity,4,0.7552840304856434,0.7612073055028463,0.045327321080268386,0.041995260724103964
50000,100,0,25,0.01,1,identity,5,0.7126613960584206,0.716826967013005,0.035808548502650195,0.036435719293187285
50000,100,0,25,0.01,1,identity,6,0.7279649312817646,0.7427418795600635,0.04286690864750193,0.04779198580872561
50000,100,0,25,0.01,1,identity,7,0.680254825895436,0.6973394950023134,0.025715569780552724,0.031314119486110924
50000,100,0,25,0.01,1,identity,8,0.7227632254750899,0.7283204930662557,0.0228683275234327,0.026915675875558657
50000,100,0,25,0.01,1,identity,9,0.6754646661461374,0.6898167361878031,0.026853040212277156,0.027191343471677044
50000,100,0,25,0.01,1,identity,10,0.7271894633428028,0.7261915058291807,0.039547540147425314,0.04026308999075452
50000,100,0,25,0.01,1,identity,11,0.7574851032968757,0.7710011662550472,0.050564913601597455,0.06251895899853728
50000,100,0,25,0.01,1,identity,12,0.7260185006406769,0.7225170700882906,0.04902001832025069,0.048022714233324264
50000,100,0,25,0.01,1,identity,13,0.7226120749683381,0.7508850966613012,0.048925770543221066,0.045793158222301664
50000,100,0,25,0.01,1,identity,14,0.6700775563713982,0.6607755380585508,0.02082791353406477,0.02127157909516216
50000,100,0,25,0.01,1,identity,15,0.6595184218830573,0.6749065500883831,0.03258638532112876,0.0276651098663072
50000,100,0,25,0.01,1,identity,16,0.7195543498316344,0.7236618674754371,0.04594130117032389,0.04851658961851799
50000,100,0,25,0.01,1,identity,17,0.7467082155015581,0.77635209270016,0.03787798851782163,0.04582895171042729
50000,100,0,25,0.01,1,identity,18,0.7260520145906907,0.7407181171764887,0.040430094884537235,0.04193901277087221
50000,100,0,25,0.01,1,identity,19,0.6965987026615613,0.7014110607870452,0.03158098988425096,0.03417380272647197
50000,100,0,25,0.01,1,identity,20,0.6495305578423302,0.6501051099611903,0.023295925199454694,0.0230343747105166
50000,100,0,25,0.01,1,identity,21,0.7967818956054726,0.8071415970833824,0.05522758838201098,0.057383755952632884
50000,100,0,25,0.01,1,identity,22,0.7322608484848485,0.7521881212121212,0.04220639124527656,0.05351129983484935
50000,100,0,25,0.01,1,identity,23,0.7567299465736407,0.7667715592709434,0.0462518209561331,0.05810762409209228
50000,100,0,25,0.01,1,identity,24,0.697499106878488,0.712284408621056,0.04191395704554628,0.05422863575435604
50000,100,0,25,0.01,1,relu,0,0.7251177397824077,0.7294688614182847,0.0344428223838743,0.035054310619839144
50000,100,0,25,0.01,1,relu,1,0.6470950028289687,0.500121241513094,0.03016425659163706,0.010242458189965591
50000,100,0,25,0.01,1,relu,2,0.7237531636566891,0.7380426466247958,0.04348757851129207,0.03299886778730346
50000,100,0,25,0.01,1,relu,3,0.4999596057521409,0.4999596057521409,0.00976,0.00976
50000,100,0,25,0.01,1,relu,4,0.7553687417895198,0.7613402370873908,0.03808649759711617,0.04356154420831429
50000,100,0,25,0.01,1,relu,5,0.6706821017529528,0.7166472236054616,0.03347516881574013,0.03641051263787714
50000,100,0,25,0.01,1,relu,6,0.7273439977216556,0.7404630057525021,0.03893525649742949,0.046274411247719305
50000,100,0,25,0.01,1,relu,7,0.677507535542299,0.6434651585543805,0.025880851558542424,0.028837025942081117
