n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,auc_multi_refined,ap_single,ap_multi,ap_multi_refined,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,sklearn,25,relu,0,0.6274572794378297,0.656766738953646,0.4090669766665972,0.019136907854644447,0.01974881198437807,0.007870394433273748,0,25,True
50000,100,0.01,sklearn,25,relu,1,0.6023946747791623,0.5715636556468833,0.39115393739795423,0.017686275236747696,0.01626049803916236,0.008777068093843836,0,25,True
50000,100,0.01,sklearn,25,relu,2,0.600172050329448,0.6096319097368416,0.411867109663542,0.01163398172555397,0.018952044006350078,0.007369782524644824,0,25,True
50000,100,0.01,sklearn,25,relu,3,0.5696782222222222,0.5780150303030304,0.3781094141414142,0.017554405856967076,0.013583746330283362,0.0073296715404401165,0,25,True
50000,100,0.01,sklearn,25,relu,4,0.5823991101251309,0.6044413771042092,0.4099819594695649,0.019404101601481788,0.01696692278268662,0.009813716131989756,0,25,True
50000,100,0.01,sklearn,25,relu,5,0.5501627474747475,0.6070322424242424,0.45302593939393937,0.014015299478925762,0.014774569116919732,0.009247336201834197,0,25,True
50000,100,0.01,sklearn,25,relu,6,0.6697174063800277,0.6188574895977809,0.38363326398520575,0.032230020876564965,0.016820716081962242,0.008375604499673577,0,25,True
50000,100,0.01,sklearn,25,relu,7,0.5738324252995205,0.6056128248343982,0.4426313382719921,0.01652446269326159,0.019670163355871087,0.010677551523301876,0,25,True
50000,100,0.01,sklearn,25,relu,8,0.6136216565656566,0.5920639999999999,0.39463014141414143,0.01581922019856772,0.017392381136580773,0.00771628253076045,0,25,True
50000,100,0.01,sklearn,25,relu,9,0.5578414545603814,0.6006353567772672,0.4353560076042701,0.013430888215521486,0.015175978525177242,0.008496509357409702,0,25,True
50000,100,0.01,sklearn,25,relu,0,0.5894550392972723,0.5807749653259362,0.4026872399445215,0.015048437125986708,0.016863571500082133,0.008731213651561456,5,25,True
50000,100,0.01,sklearn,25,relu,1,0.5735148823004326,0.5461282444527441,0.46099372498536534,0.015110548591150073,0.010657526487457646,0.00884216455183668,5,25,True
50000,100,0.01,sklearn,25,relu,2,0.6176729585361507,0.5554414667869272,0.3783243282578667,0.020451046246989006,0.012903695651323334,0.007166889504958781,5,25,True
50000,100,0.01,sklearn,25,relu,3,0.620258713715334,0.5545287264846588,0.3839438666774576,0.023161986778159248,0.014932387583452823,0.008829795868155634,5,25,True
50000,100,0.01,sklearn,25,relu,4,0.6213052722067436,0.60960979045669,0.401330258464892,0.020343349261011754,0.01870065336863124,0.008706802700021082,5,25,True
50000,100,0.01,sklearn,25,relu,5,0.5533815344617048,0.5429931337367829,0.41408697354324275,0.012796750981504913,0.01241544705915909,0.007940794154658166,5,25,True
50000,100,0.01,sklearn,25,relu,6,0.5837160330969509,0.577376091578568,0.40878135379227876,0.01671025386576251,0.015118894446638078,0.009348046227765514,5,25,True
50000,100,0.01,sklearn,25,relu,7,0.6452596370781558,0.5363273107348694,0.3654174212567283,0.026723693195182724,0.01360864795762698,0.008745358769832718,5,25,True
50000,100,0.01,sklearn,25,relu,8,0.5689664677172762,0.5947233084401583,0.4102213311968325,0.014207585652200656,0.027965476262308456,0.008298942513275719,5,25,True
50000,100,0.01,sklearn,25,relu,9,0.6148690077028732,0.5371486816282488,0.42079238692515103,0.0162534525465158,0.011815619000054237,0.009075606625432355,5,25,True
50000,100,0.01,sklearn,25,relu,0,0.5648184219295151,0.47948395664275356,0.42410950546865817,0.015331663677601175,0.010119628161241675,0.008960934090285675,15,25,True
50000,100,0.01,sklearn,25,relu,1,0.5793318558647295,0.4706922440304159,0.48304336314808194,0.014034801638843335,0.009497010334364411,0.010209272444979964,15,25,True
