n,p,er,hidden_layers,activation,iter,auc_single,auc_multi,auc_multi_refined,ap_single,ap_multi,ap_multi_refined,similarity
5000,10,0.01,1,identity,0,0.5965364247888937,0.6056485854682505,0.39959925576069844,0.026138904406222414,0.02508787597747934,0.011256430772554678,0.0
5000,10,0.01,1,identity,1,0.8043755102040816,0.7884408163265306,0.19699591836734695,0.12635445947378063,0.11134981912271452,0.01210884047686638,0.0
5000,10,0.01,1,identity,0,0.5965364247888937,0.6092266590334431,0.3986451028099804,0.026138904406222414,0.031166624869107432,0.011238751638356475,0.2
5000,10,0.01,1,identity,1,0.8043755102040816,0.7975836734693877,0.19542857142857142,0.12635445947378063,0.11232131987770896,0.012082289872676063,0.2
5000,10,0.01,1,identity,0,0.5965364247888937,0.6096083202137301,0.39983779399837793,0.026138904406222414,0.02969753329895572,0.011246755554628667,0.4
5000,10,0.01,1,identity,1,0.8043755102040816,0.7997714285714286,0.1949714285714286,0.12635445947378063,0.11465873297466515,0.012083317428853534,0.4
5000,10,0.01,1,identity,0,0.5965364247888937,0.5983493153952578,0.4005057010638805,0.026138904406222414,0.037057598810459155,0.01124805320772251,0.6
5000,10,0.01,1,identity,1,0.8043755102040816,0.8003591836734694,0.19562448979591837,0.12635445947378063,0.112235263823524,0.012097631582693906,0.6
5000,10,0.01,1,identity,0,0.5965364247888937,0.6236343685892849,0.39182290921234675,0.026138904406222414,0.04425991192348894,0.011038683917740398,0.8
5000,10,0.01,1,identity,1,0.8043755102040816,0.7999673469387755,0.19686530612244899,0.12635445947378063,0.09973781191364609,0.012106109451988438,0.8
5000,10,0.01,1,identity,0,0.5965364247888937,0.6242545680072515,0.3912981250894518,0.026138904406222414,0.045300161747292456,0.01104763336357289,1.0
5000,10,0.01,1,identity,1,0.8043755102040816,0.8025142857142857,0.19441632653061225,0.12635445947378063,0.11878686585704565,0.012047499107204335,1.0
5000,10,0.01,1,relu,0,0.6024521730833453,0.6060302466485377,0.3989790563427318,0.026320819434326438,0.025547262448698798,0.01124991266678147,0.0
5000,10,0.01,1,relu,1,0.5921142857142856,0.7639183673469387,0.2015020408163265,0.051326040626040625,0.09916120260030652,0.012193886395745627,0.0
5000,10,0.01,1,relu,0,0.6024521730833453,0.6095606125661943,0.3982157339821573,0.026320819434326438,0.031149937967319182,0.011245154832994937,0.2
5000,10,0.01,1,relu,1,0.5921142857142856,0.7797877551020408,0.1990857142857143,0.051326040626040625,0.11050655047064693,0.012155233990401998,0.2
5000,10,0.01,1,relu,0,0.6024521730833453,0.6099422737464815,0.39936071752301894,0.026320819434326438,0.029718409834074002,0.011236062463767994,0.4
5000,10,0.01,1,relu,1,0.5921142857142856,0.7824,0.20022857142857142,0.051326040626040625,0.10511460241722374,0.012170950858817598,0.4
5000,10,0.01,1,relu,0,0.6024521730833453,0.5988740995181527,0.40088736224416777,0.026320819434326438,0.03699921692118883,0.011264054489756356,0.6
5000,10,0.01,1,relu,1,0.5921142857142856,0.7862530612244898,0.20078367346938772,0.051326040626040625,0.10263972089986885,0.012185257268473495,0.6
5000,10,0.01,1,relu,0,0.6024521730833453,0.6245885215400029,0.39020084919612613,0.026320819434326438,0.044272451911548334,0.01101120742233976,0.8
5000,10,0.01,1,relu,1,0.5921142857142856,0.7892897959183673,0.20065306122448978,0.051326040626040625,0.09576190651742064,0.012165035013372091,0.8
5000,10,0.01,1,relu,0,0.6024521730833453,0.6242068603597157,0.3906302180239492,0.026320819434326438,0.0402207563247232,0.011035089523313973,1.0
5000,10,0.01,1,relu,1,0.5921142857142856,0.7956897959183673,0.19699591836734695,0.051326040626040625,0.08953926655919543,0.012057329375553674,1.0
