n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,25,relu,0,0.6069138779658234,0.6391592498449046,0.016218792398825167,0.027657260936844792,0,25,True
50000,100,0.01,torch,25,relu,1,0.5849915312067043,0.574790755323622,0.014791535486463373,0.01475293917886324,0,25,True
50000,100,0.01,torch,25,relu,2,0.6564814013984711,0.6524701666145512,0.02211647114888895,0.03087326123333515,0,25,True
50000,100,0.01,torch,25,relu,3,0.617864416356512,0.6480952205475918,0.021629524747949526,0.021488747793949665,0,25,True
50000,100,0.01,torch,25,relu,4,0.599007552577054,0.6600356789847737,0.020023541003642856,0.028343403949659916,0,25,True
50000,100,0.01,torch,25,relu,5,0.631727310788437,0.6466799960035778,0.018583464538589993,0.018835983662015426,0,25,True
50000,100,0.01,torch,25,relu,6,0.5914799117712832,0.655403365368888,0.01864708768481874,0.021120937573577324,0,25,True
50000,100,0.01,torch,25,relu,7,0.6088047355835196,0.6538096848171234,0.02046511140188978,0.022398590130905255,0,25,True
50000,100,0.01,torch,25,relu,8,0.6258517507756093,0.6029966568724199,0.017680456414406943,0.014141055667947211,0,25,True
50000,100,0.01,torch,25,relu,9,0.6263130904183536,0.6833273954116059,0.025387615642026462,0.025392562416116482,0,25,True
50000,100,0.01,torch,25,relu,0,0.6069138779658234,0.6001820108578891,0.016218792398825167,0.01640263702700083,5,25,True
50000,100,0.01,torch,25,relu,1,0.5849915312067043,0.5942899717330918,0.014791535486463373,0.04284987439522621,5,25,True
50000,100,0.01,torch,25,relu,2,0.6564814013984711,0.6379709527833036,0.02211647114888895,0.02474026520754826,5,25,True
50000,100,0.01,torch,25,relu,3,0.617864416356512,0.6365665573448305,0.021629524747949526,0.026412232438655092,5,25,True
50000,100,0.01,torch,25,relu,4,0.599007552577054,0.6550669211905239,0.020023541003642856,0.024841397406537086,5,25,True
50000,100,0.01,torch,25,relu,5,0.631727310788437,0.6305973699735474,0.018583464538589993,0.01797928223637557,5,25,True
50000,100,0.01,torch,25,relu,6,0.5914799117712832,0.6540320984780923,0.01864708768481874,0.022465132408530136,5,25,True
50000,100,0.01,torch,25,relu,7,0.6088047355835196,0.6470571660982398,0.02046511140188978,0.031171840307745655,5,25,True
50000,100,0.01,torch,25,relu,8,0.6258517507756093,0.6396599723884939,0.017680456414406943,0.01808656864818326,5,25,True
50000,100,0.01,torch,25,relu,9,0.6263130904183536,0.6635373819163293,0.025387615642026462,0.04137587216922333,5,25,True
50000,100,0.01,torch,25,relu,0,0.6069138779658234,0.5932072413285344,0.016218792398825167,0.016104694274545056,10,25,True
50000,100,0.01,torch,25,relu,1,0.5849915312067043,0.5955739197510558,0.014791535486463373,0.023906471780372862,10,25,True
50000,100,0.01,torch,25,relu,2,0.6564814013984711,0.6376000452407407,0.02211647114888895,0.01945229826725002,10,25,True
50000,100,0.01,torch,25,relu,3,0.617864416356512,0.6514633157681394,0.021629524747949526,0.026303204681721926,10,25,True
50000,100,0.01,torch,25,relu,4,0.599007552577054,0.6205638322902963,0.020023541003642856,0.020202645414413502,10,25,True
50000,100,0.01,torch,25,relu,5,0.631727310788437,0.6554988867109445,0.018583464538589993,0.02040188746671566,10,25,True
