n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,25,relu,0,0.68876264,0.702175682,0.021696066,0.026931995,0,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.62143648,0.017842053,0.025544993,0,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.744369302,0.040326924,0.041967928,0,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.693464274,0.027166421,0.034160507,0,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.714157319,0.040418032,0.039801974,0,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.701797914,0.023756601,0.026834804,0,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.724446144,0.02762358,0.033568166,0,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.729736319,0.026664618,0.040119655,0,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.686567441,0.021521263,0.021159079,0,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.698441026,0.03250054,0.041713925,0,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.687393938,0.021696066,0.026855636,5,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.65285279,0.017842053,0.020699533,5,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.739705514,0.040326924,0.043573256,5,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.674027097,0.027166421,0.026736606,5,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.725250082,0.040418032,0.038435014,5,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.694425348,0.023756601,0.025091543,5,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.702312813,0.02762358,0.027690917,5,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.684943917,0.026664618,0.034181714,5,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.681498131,0.021521263,0.022400617,5,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.70662888,0.03250054,0.048018996,5,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.679884783,0.021696066,0.023742457,10,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.646789597,0.017842053,0.020221626,10,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.732430958,0.040326924,0.035998981,10,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.69358981,0.027166421,0.033541782,10,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.718261815,0.040418032,0.041343378,10,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.695549342,0.023756601,0.026853257,10,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.702045746,0.02762358,0.03009405,10,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.714189722,0.026664618,0.030388407,10,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.674950736,0.021521263,0.0188235,10,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.710158704,0.03250054,0.032124456,10,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.68568306,0.021696066,0.02339154,15,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.642182674,0.017842053,0.027554486,15,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.741387072,0.040326924,0.038506745,15,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.683223643,0.027166421,0.030050033,15,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.698013203,0.040418032,0.030084007,15,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.684028703,0.023756601,0.026889835,15,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.703332817,0.02762358,0.028965901,15,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.70240191,0.026664618,0.036538432,15,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.684673392,0.021521263,0.03735615,15,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.726263428,0.03250054,0.04242889,15,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.68781517,0.021696066,0.025069658,20,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.640171845,0.017842053,0.019244638,20,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.739572453,0.040326924,0.044578953,20,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.702420066,0.027166421,0.0315176,20,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.699898766,0.040418032,0.035242465,20,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.684286805,0.023756601,0.025235269,20,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.712445279,0.02762358,0.03134538,20,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.716184729,0.026664618,0.038186309,20,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.684008717,0.021521263,0.026280585,20,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.715748988,0.03250054,0.037403055,20,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.686331805,0.021696066,0.021973524,25,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.617385997,0.017842053,0.01874948,25,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.722278958,0.040326924,0.037296073,25,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.672646694,0.027166421,0.028019792,25,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.715183239,0.040418032,0.039354938,25,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.705484495,0.023756601,0.027285209,25,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.71045461,0.02762358,0.028983872,25,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.689068687,0.026664618,0.028577017,25,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.676983026,0.021521263,0.022082574,25,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.702296356,0.03250054,0.031457961,25,25,TRUE
