n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,1,relu,0,0.68858763,0.512088997,0.026111233,0.011192971,0,25,TRUE
50000,100,0.01,torch,1,relu,1,0.675678114,0.500161668,0.028044918,0.010323303,0,25,TRUE
50000,100,0.01,torch,1,relu,2,0.755448848,0.513141437,0.043369363,0.012504631,0,25,TRUE
50000,100,0.01,torch,1,relu,3,0.499959465,0.676443724,0.0132,0.029274617,0,25,TRUE
50000,100,0.01,torch,1,relu,4,0.739856404,0.753786477,0.052852041,0.053482535,0,25,TRUE
50000,100,0.01,torch,1,relu,5,0.702492233,0.50016176,0.034073633,0.010883483,0,25,TRUE
50000,100,0.01,torch,1,relu,6,0.69571711,0.738800739,0.034925503,0.039495949,0,25,TRUE
50000,100,0.01,torch,1,relu,7,0.726418249,0.742993894,0.034058723,0.040185611,0,25,TRUE
50000,100,0.01,torch,1,relu,8,0.702074072,0.720776949,0.030018985,0.033335175,0,25,TRUE
50000,100,0.01,torch,1,relu,9,0.704270175,0.472511741,0.060308726,0.011478777,0,25,TRUE
50000,100,0.01,torch,5,relu,0,0.708398208,0.69119438,0.022953406,0.0235383,0,25,TRUE
50000,100,0.01,torch,5,relu,1,0.59887183,0.637690423,0.013609524,0.018394285,0,25,TRUE
50000,100,0.01,torch,5,relu,2,0.715497282,0.727098538,0.052418672,0.037081657,0,25,TRUE
50000,100,0.01,torch,5,relu,3,0.665018978,0.666051025,0.027782725,0.032293369,0,25,TRUE
50000,100,0.01,torch,5,relu,4,0.7237976,0.740919818,0.050996648,0.043442915,0,25,TRUE
50000,100,0.01,torch,5,relu,5,0.654320775,0.695411965,0.023061981,0.029105871,0,25,TRUE
50000,100,0.01,torch,5,relu,6,0.688192035,0.705669387,0.031440131,0.033753858,0,25,TRUE
50000,100,0.01,torch,5,relu,7,0.699848277,0.712437277,0.03363509,0.031465108,0,25,TRUE
50000,100,0.01,torch,5,relu,8,0.654634617,0.710848471,0.027531398,0.036066011,0,25,TRUE
50000,100,0.01,torch,5,relu,9,0.689934143,0.701881511,0.039008335,0.041553096,0,25,TRUE
50000,100,0.01,torch,10,relu,0,0.67683598,0.706637844,0.023975126,0.039135487,0,25,TRUE
50000,100,0.01,torch,10,relu,1,0.605654071,0.630240516,0.018791229,0.027525783,0,25,TRUE
50000,100,0.01,torch,10,relu,2,0.713148201,0.740012663,0.030306694,0.03765812,0,25,TRUE
50000,100,0.01,torch,10,relu,3,0.636153591,0.666831755,0.023923191,0.02940829,0,25,TRUE
50000,100,0.01,torch,10,relu,4,0.687297553,0.712524432,0.02757479,0.040802764,0,25,TRUE
50000,100,0.01,torch,10,relu,5,0.664894642,0.679886578,0.026375332,0.033996127,0,25,TRUE
50000,100,0.01,torch,10,relu,6,0.674220343,0.718108392,0.029190645,0.032879406,0,25,TRUE
50000,100,0.01,torch,10,relu,7,0.674485598,0.72346831,0.028303463,0.027552472,0,25,TRUE
50000,100,0.01,torch,10,relu,8,0.657958612,0.683253319,0.023852945,0.022713894,0,25,TRUE
50000,100,0.01,torch,10,relu,9,0.710737652,0.723305263,0.044705368,0.041214387,0,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.702175682,0.021696066,0.026931995,0,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.62143648,0.017842053,0.025544993,0,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.744369302,0.040326924,0.041967928,0,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.693464274,0.027166421,0.034160507,0,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.714157319,0.040418032,0.039801974,0,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.701797914,0.023756601,0.026834804,0,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.724446144,0.02762358,0.033568166,0,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.729736319,0.026664618,0.040119655,0,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.686567441,0.021521263,0.021159079,0,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.698441026,0.03250054,0.041713925,0,25,TRUE
50000,100,0.01,torch,50,relu,0,0.697520404,0.715980988,0.025107067,0.026930502,0,25,TRUE
50000,100,0.01,torch,50,relu,1,0.63507271,0.672569444,0.017687909,0.021306669,0,25,TRUE
50000,100,0.01,torch,50,relu,2,0.740406302,0.738348569,0.038942233,0.043527042,0,25,TRUE
50000,100,0.01,torch,50,relu,3,0.674758939,0.698700667,0.028461625,0.030064527,0,25,TRUE
50000,100,0.01,torch,50,relu,4,0.698584578,0.72456704,0.041209219,0.041214818,0,25,TRUE
50000,100,0.01,torch,50,relu,5,0.679602606,0.697507113,0.027431253,0.031864743,0,25,TRUE
50000,100,0.01,torch,50,relu,6,0.712264017,0.727291643,0.028734066,0.03176927,0,25,TRUE
50000,100,0.01,torch,50,relu,7,0.693377521,0.717788942,0.028832155,0.027560393,0,25,TRUE
50000,100,0.01,torch,50,relu,8,0.663218623,0.697345432,0.022869147,0.027088515,0,25,TRUE
50000,100,0.01,torch,50,relu,9,0.713392713,0.722194332,0.041241992,0.045498115,0,25,TRUE
50000,100,0.01,torch,100,relu,0,0.680409211,0.715295128,0.020930337,0.029812037,0,25,TRUE
50000,100,0.01,torch,100,relu,1,0.630593931,0.667797092,0.015795153,0.023907714,0,25,TRUE
50000,100,0.01,torch,100,relu,2,0.751806303,0.755140036,0.037872547,0.03874038,0,25,TRUE
50000,100,0.01,torch,100,relu,3,0.684478019,0.690708135,0.030426518,0.032880575,0,25,TRUE
50000,100,0.01,torch,100,relu,4,0.69880927,0.723881554,0.034572409,0.044708109,0,25,TRUE
50000,100,0.01,torch,100,relu,5,0.697239495,0.700772642,0.032070286,0.028677512,0,25,TRUE
50000,100,0.01,torch,100,relu,6,0.710084577,0.723599627,0.035909294,0.037420514,0,25,TRUE
50000,100,0.01,torch,100,relu,7,0.717527392,0.722874463,0.0363096,0.02876903,0,25,TRUE
50000,100,0.01,torch,100,relu,8,0.690880118,0.696177467,0.022099533,0.029063266,0,25,TRUE
50000,100,0.01,torch,100,relu,9,0.726182186,0.720576788,0.038151934,0.044940534,0,25,TRUE
50000,100,0.01,torch,150,relu,0,0.688576163,0.708070516,0.021313744,0.029173681,0,25,TRUE
50000,100,0.01,torch,150,relu,1,0.650769272,0.666738102,0.017289813,0.024374984,0,25,TRUE
50000,100,0.01,torch,150,relu,2,0.707564629,0.730398451,0.045454905,0.045008786,0,25,TRUE
50000,100,0.01,torch,150,relu,3,0.693413175,0.672634411,0.030725079,0.029577607,0,25,TRUE
50000,100,0.01,torch,150,relu,4,0.700013965,0.723106408,0.037460604,0.038831123,0,25,TRUE
50000,100,0.01,torch,150,relu,5,0.703447033,0.687292448,0.034545396,0.026033199,0,25,TRUE
50000,100,0.01,torch,150,relu,6,0.705089669,0.720723291,0.033190165,0.035694904,0,25,TRUE
50000,100,0.01,torch,150,relu,7,0.730686351,0.729782258,0.036228124,0.031276153,0,25,TRUE
50000,100,0.01,torch,150,relu,8,0.704445798,0.684240767,0.024130874,0.023383822,0,25,TRUE
50000,100,0.01,torch,150,relu,9,0.730210526,0.725069366,0.040824958,0.063116915,0,25,TRUE
50000,100,0.01,torch,200,relu,0,0.681395304,0.703449335,0.020663763,0.027843697,0,25,TRUE
50000,100,0.01,torch,200,relu,1,0.62371425,0.660817152,0.016676202,0.023857297,0,25,TRUE
50000,100,0.01,torch,200,relu,2,0.747522848,0.721786078,0.037338868,0.039652852,0,25,TRUE
50000,100,0.01,torch,200,relu,3,0.673977718,0.660851482,0.028648998,0.027926457,0,25,TRUE
50000,100,0.01,torch,200,relu,4,0.710811667,0.723427552,0.041855618,0.0376863,0,25,TRUE
50000,100,0.01,torch,200,relu,5,0.692815479,0.684579995,0.030836601,0.025218761,0,25,TRUE
50000,100,0.01,torch,200,relu,6,0.698137876,0.722490868,0.030697019,0.036855232,0,25,TRUE
50000,100,0.01,torch,200,relu,7,0.722800654,0.738299473,0.030686336,0.040333135,0,25,TRUE
50000,100,0.01,torch,200,relu,8,0.683992054,0.68040947,0.022660893,0.02264113,0,25,TRUE
50000,100,0.01,torch,200,relu,9,0.725824561,0.705966532,0.040966066,0.036606892,0,25,TRUE
