n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,1,relu,0,0.68858763,0.496696527,0.026111233,0.010650409,25,25,TRUE
50000,100,0.01,torch,1,relu,1,0.675678114,0.500121251,0.028044918,0.010323303,25,25,TRUE
50000,100,0.01,torch,1,relu,2,0.755448848,0.511824133,0.043369363,0.011959659,25,25,TRUE
50000,100,0.01,torch,1,relu,3,0.499959465,0.663568805,0.0132,0.030640629,25,25,TRUE
50000,100,0.01,torch,1,relu,4,0.739856404,0.670890709,0.052852041,0.025196566,25,25,TRUE
50000,100,0.01,torch,1,relu,5,0.702492233,0.49923164,0.034073633,0.01088,25,25,TRUE
50000,100,0.01,torch,1,relu,6,0.69571711,0.642679864,0.034925503,0.024676549,25,25,TRUE
50000,100,0.01,torch,1,relu,7,0.726418249,0.661533062,0.034058723,0.025851724,25,25,TRUE
50000,100,0.01,torch,1,relu,8,0.702074072,0.581472457,0.030018985,0.021224212,25,25,TRUE
50000,100,0.01,torch,1,relu,9,0.704270175,0.5,0.060308726,0.012,25,25,TRUE
50000,100,0.01,torch,5,relu,0,0.708398208,0.681503931,0.022953406,0.029189637,25,25,TRUE
50000,100,0.01,torch,5,relu,1,0.59887183,0.646084648,0.013609524,0.01875135,25,25,TRUE
50000,100,0.01,torch,5,relu,2,0.715497282,0.719508517,0.052418672,0.044768208,25,25,TRUE
50000,100,0.01,torch,5,relu,3,0.665018978,0.66832885,0.027782725,0.028796554,25,25,TRUE
50000,100,0.01,torch,5,relu,4,0.7237976,0.720852427,0.050996648,0.034169452,25,25,TRUE
50000,100,0.01,torch,5,relu,5,0.654320775,0.707419667,0.023061981,0.036167809,25,25,TRUE
50000,100,0.01,torch,5,relu,6,0.688192035,0.693268994,0.031440131,0.027817608,25,25,TRUE
50000,100,0.01,torch,5,relu,7,0.699848277,0.675153255,0.03363509,0.028014801,25,25,TRUE
50000,100,0.01,torch,5,relu,8,0.654634617,0.670090024,0.027531398,0.023951444,25,25,TRUE
50000,100,0.01,torch,5,relu,9,0.689934143,0.687711741,0.039008335,0.029543437,25,25,TRUE
50000,100,0.01,torch,10,relu,0,0.67683598,0.680283686,0.023975126,0.028401903,25,25,TRUE
50000,100,0.01,torch,10,relu,1,0.605654071,0.659754402,0.018791229,0.021370909,25,25,TRUE
50000,100,0.01,torch,10,relu,2,0.713148201,0.737237232,0.030306694,0.041136688,25,25,TRUE
50000,100,0.01,torch,10,relu,3,0.636153591,0.683181388,0.023923191,0.027345605,25,25,TRUE
50000,100,0.01,torch,10,relu,4,0.687297553,0.721470804,0.02757479,0.032595002,25,25,TRUE
50000,100,0.01,torch,10,relu,5,0.664894642,0.706835369,0.026375332,0.03302599,25,25,TRUE
50000,100,0.01,torch,10,relu,6,0.674220343,0.712689823,0.029190645,0.034201997,25,25,TRUE
50000,100,0.01,torch,10,relu,7,0.674485598,0.692923331,0.028303463,0.023978975,25,25,TRUE
50000,100,0.01,torch,10,relu,8,0.657958612,0.665465066,0.023852945,0.022701629,25,25,TRUE
50000,100,0.01,torch,10,relu,9,0.710737652,0.72648529,0.044705368,0.055269667,25,25,TRUE
50000,100,0.01,torch,25,relu,0,0.68876264,0.686331805,0.021696066,0.021973524,25,25,TRUE
50000,100,0.01,torch,25,relu,1,0.625615734,0.617385997,0.017842053,0.01874948,25,25,TRUE
50000,100,0.01,torch,25,relu,2,0.716259056,0.722278958,0.040326924,0.037296073,25,25,TRUE
50000,100,0.01,torch,25,relu,3,0.676380833,0.672646694,0.027166421,0.028019792,25,25,TRUE
50000,100,0.01,torch,25,relu,4,0.711549591,0.715183239,0.040418032,0.039354938,25,25,TRUE
50000,100,0.01,torch,25,relu,5,0.696561531,0.705484495,0.023756601,0.027285209,25,25,TRUE
50000,100,0.01,torch,25,relu,6,0.712460831,0.71045461,0.02762358,0.028983872,25,25,TRUE
50000,100,0.01,torch,25,relu,7,0.693025011,0.689068687,0.026664618,0.028577017,25,25,TRUE
50000,100,0.01,torch,25,relu,8,0.650588241,0.676983026,0.021521263,0.022082574,25,25,TRUE
50000,100,0.01,torch,25,relu,9,0.69708556,0.702296356,0.03250054,0.031457961,25,25,TRUE
50000,100,0.01,torch,50,relu,0,0.697520404,0.674903624,0.025107067,0.022361452,25,25,TRUE
50000,100,0.01,torch,50,relu,1,0.63507271,0.651459809,0.017687909,0.018449129,25,25,TRUE
50000,100,0.01,torch,50,relu,2,0.740406302,0.741162532,0.038942233,0.041135032,25,25,TRUE
50000,100,0.01,torch,50,relu,3,0.674758939,0.691095061,0.028461625,0.029357124,25,25,TRUE
50000,100,0.01,torch,50,relu,4,0.698584578,0.720429669,0.041209219,0.040167792,25,25,TRUE
