n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,1,relu,0,0.6943518096079524,0.5188815143110261,0.028111749072841162,0.011234061534901522,0,25,True
50000,100,0.01,torch,1,relu,1,0.6759654205039418,0.5001616684180745,0.028113596341064577,0.010323303457106274,0,25,True
50000,100,0.01,torch,1,relu,2,0.7568945003670267,0.51005885731647,0.043860861984170565,0.01191707692006851,0,25,True
50000,100,0.01,torch,1,relu,3,0.4827834076476152,0.6859402292073553,0.012902935877053523,0.03114233096677451,0,25,True
50000,100,0.01,torch,1,relu,4,0.737269595864585,0.7550343721319199,0.05434206588532776,0.05445211599282838,0,25,True
50000,100,0.01,torch,1,relu,5,0.6989201334043809,0.5101896873275353,0.03417299653998805,0.011104232969863214,0,25,True
50000,100,0.01,torch,1,relu,6,0.7107763773134431,0.7375351196091167,0.03573873688209587,0.03974954466838872,0,25,True
50000,100,0.01,torch,1,relu,7,0.7253665373005607,0.745602042416402,0.03507711816694455,0.040211004833277234,0,25,True
50000,100,0.01,torch,1,relu,8,0.7037570533079807,0.7194821577460024,0.030351082277768553,0.03300435583689158,0,25,True
50000,100,0.01,torch,1,relu,9,0.7185611336032389,0.5,0.06623394876416014,0.012,0,25,True
50000,100,0.01,torch,5,relu,0,0.7142073475417672,0.6796765807063663,0.023480909826861643,0.02351221414684674,0,25,True
50000,100,0.01,torch,5,relu,1,0.5747381190944814,0.6333773848441498,0.014431217326670683,0.019669764032009804,0,25,True
50000,100,0.01,torch,5,relu,2,0.6832288804469074,0.7075252649577198,0.027285605424914688,0.029474356498363708,0,25,True
50000,100,0.01,torch,5,relu,3,0.6654879561729988,0.6502728132561939,0.025819545333806697,0.025688417650394008,0,25,True
50000,100,0.01,torch,5,relu,4,0.7008575780348737,0.727029683763345,0.040150125851715714,0.03932609582950232,0,25,True
50000,100,0.01,torch,5,relu,5,0.6461554655831921,0.6801369488267646,0.021077845605603607,0.02744765882798335,0,25,True
50000,100,0.01,torch,5,relu,6,0.6563327378842376,0.7024736968272092,0.028169017939593602,0.04137747990670396,0,25,True
50000,100,0.01,torch,5,relu,7,0.6770282057313104,0.7022062066329531,0.03279445430682164,0.032297365760484475,0,25,True
50000,100,0.01,torch,5,relu,8,0.6582708926959111,0.6993178587937463,0.022425595160404987,0.036247481462543474,0,25,True
50000,100,0.01,torch,5,relu,9,0.6827152496626181,0.7043346828609987,0.040603275746166595,0.030518911762768875,0,25,True
50000,100,0.01,torch,10,relu,0,0.5933855709323349,0.6423148691283997,0.017258088689285106,0.01952799667712386,0,25,True
50000,100,0.01,torch,10,relu,1,0.591497745101541,0.6066181285439377,0.016313865955779897,0.022424017091003116,0,25,True
50000,100,0.01,torch,10,relu,2,0.644189891355692,0.712899266168575,0.020438559523228084,0.0379366184246329,0,25,True
50000,100,0.01,torch,10,relu,3,0.6218884425937526,0.6573367235385882,0.021104453824859724,0.025997181138216953,0,25,True
50000,100,0.01,torch,10,relu,4,0.621966321777059,0.6613332942092562,0.020076448962150314,0.02506985222620894,0,25,True
50000,100,0.01,torch,10,relu,5,0.6502506089786286,0.6611807048927626,0.01857411297644934,0.030134952615161796,0,25,True
50000,100,0.01,torch,10,relu,6,0.6340578291724294,0.6922168135447062,0.02472615239660573,0.03528548161917409,0,25,True
50000,100,0.01,torch,10,relu,7,0.6154782380728372,0.7017520164451763,0.015844650136608858,0.0310870500148915,0,25,True
50000,100,0.01,torch,10,relu,8,0.6504317923595001,0.6359379117579715,0.01977156731510613,0.017632898380169456,0,25,True
50000,100,0.01,torch,10,relu,9,0.709420782726046,0.7066461538461539,0.03771310290244183,0.039361359699897264,0,25,True
50000,100,0.01,torch,25,relu,0,0.6069138779658234,0.6391592498449046,0.016218792398825167,0.027657260936844792,0,25,True
50000,100,0.01,torch,25,relu,1,0.5849915312067043,0.574790755323622,0.014791535486463373,0.01475293917886324,0,25,True
50000,100,0.01,torch,25,relu,2,0.6564814013984711,0.6524701666145512,0.02211647114888895,0.03087326123333515,0,25,True
50000,100,0.01,torch,25,relu,3,0.617864416356512,0.6480952205475918,0.021629524747949526,0.021488747793949665,0,25,True
50000,100,0.01,torch,25,relu,4,0.599007552577054,0.6600356789847737,0.020023541003642856,0.028343403949659916,0,25,True
50000,100,0.01,torch,25,relu,5,0.631727310788437,0.6466799960035778,0.018583464538589993,0.018835983662015426,0,25,True
50000,100,0.01,torch,25,relu,6,0.5914799117712832,0.655403365368888,0.01864708768481874,0.021120937573577324,0,25,True
50000,100,0.01,torch,25,relu,7,0.6088047355835196,0.6538096848171234,0.02046511140188978,0.022398590130905255,0,25,True
50000,100,0.01,torch,25,relu,8,0.6258517507756093,0.6029966568724199,0.017680456414406943,0.014141055667947211,0,25,True
50000,100,0.01,torch,25,relu,9,0.6263130904183536,0.6833273954116059,0.025387615642026462,0.025392562416116482,0,25,True
50000,100,0.01,torch,50,relu,0,0.5899728673469141,0.5797610081566935,0.01623983009053029,0.014920192738701758,0,25,True
50000,100,0.01,torch,50,relu,1,0.5644740544120752,0.5943789520252102,0.014135840995310761,0.01645012251275826,0,25,True
50000,100,0.01,torch,50,relu,2,0.6344021458304226,0.6522190139736229,0.02096132097808065,0.022118220095511155,0,25,True
50000,100,0.01,torch,50,relu,3,0.6262200439744016,0.6553242190858729,0.020523788526012422,0.025345082832606933,0,25,True
50000,100,0.01,torch,50,relu,4,0.5978794750200919,0.6282976298960115,0.021818970500891998,0.024308979570808926,0,25,True
50000,100,0.01,torch,50,relu,5,0.6155507212590633,0.6588024768302663,0.01638561882866582,0.023081461377574938,0,25,True
50000,100,0.01,torch,50,relu,6,0.5816311372505697,0.6385314734442396,0.017613050846798522,0.019394917495403417,0,25,True
50000,100,0.01,torch,50,relu,7,0.5996734608373515,0.6220212719040339,0.015483113628913666,0.016387415083288445,0,25,True
50000,100,0.01,torch,50,relu,8,0.5968454749283946,0.6307032046997572,0.013148942027173507,0.01760387732516251,0,25,True
50000,100,0.01,torch,50,relu,9,0.6092825910931174,0.6615951417004049,0.018134570684322587,0.028714466421010314,0,25,True
50000,100,0.01,torch,100,relu,0,0.5792543831063026,0.6186275077789123,0.014885867103291622,0.01613777224838047,0,25,True
50000,100,0.01,torch,100,relu,1,0.5937824080949508,0.5852941895242625,0.014225972734908833,0.014349410987769349,0,25,True
50000,100,0.01,torch,100,relu,2,0.6169645015423987,0.6658871509643597,0.01916588993443607,0.024807262111628734,0,25,True
50000,100,0.01,torch,100,relu,3,0.6059667612484799,0.6349903575683875,0.020889470609420917,0.022352531699618247,0,25,True
50000,100,0.01,torch,100,relu,4,0.5975653956232112,0.6328813959036006,0.0198302297315164,0.02181330773512047,0,25,True
50000,100,0.01,torch,100,relu,5,0.6148465897196795,0.6502821283803071,0.016522780077373435,0.01996964098463037,0,25,True
50000,100,0.01,torch,100,relu,6,0.6136684794704133,0.6815368056721218,0.01956466304949706,0.026656161043085665,0,25,True
50000,100,0.01,torch,100,relu,7,0.6348672282331727,0.6481094907679642,0.02017530339775698,0.028273953098112103,0,25,True
50000,100,0.01,torch,100,relu,8,0.6106864057459581,0.6534842400263154,0.015210689291186054,0.018863784059403817,0,25,True
50000,100,0.01,torch,100,relu,9,0.606132253711201,0.6794008097165991,0.01940982869227109,0.02604964472395069,0,25,True
50000,100,0.01,torch,150,relu,0,0.6068619783180169,0.6208471229490586,0.016244577073077693,0.01824509283313503,0,25,True
50000,100,0.01,torch,150,relu,1,0.5983457811749033,0.6123648768468893,0.015105533196748884,0.01779789964659183,0,25,True
50000,100,0.01,torch,150,relu,2,0.6274458275396355,0.6674969118759162,0.02270611230073203,0.024488058089707755,0,25,True
50000,100,0.01,torch,150,relu,3,0.593320067312771,0.6495952635393252,0.02077845566799595,0.023814156986170273,0,25,True
50000,100,0.01,torch,150,relu,4,0.6049582160290257,0.6515756406975171,0.018781388040772302,0.029488367317065837,0,25,True
50000,100,0.01,torch,150,relu,5,0.5979795468818391,0.6392907777798923,0.014126096249099175,0.02290434481187423,0,25,True
50000,100,0.01,torch,150,relu,6,0.6341532869379991,0.6631504602083231,0.018774069005493305,0.027630216879408524,0,25,True
50000,100,0.01,torch,150,relu,7,0.6464483123603434,0.6933778274334549,0.018485866355825158,0.025255159477352164,0,25,True
50000,100,0.01,torch,150,relu,8,0.6130531944241298,0.6464499095559633,0.014989300023463905,0.020157366252546674,0,25,True
50000,100,0.01,torch,150,relu,9,0.6386089068825911,0.6918887989203778,0.02083295036071437,0.03790541120522516,0,25,True
50000,100,0.01,torch,200,relu,0,0.567940259884469,0.6165798856276599,0.015071333207502683,0.017027722534669533,0,25,True
50000,100,0.01,torch,200,relu,1,0.5782453211718579,0.6010151899384595,0.015890042716540407,0.02194666524889611,0,25,True
50000,100,0.01,torch,200,relu,2,0.6356130009469508,0.6861163041863209,0.01999510817554085,0.032400926503395586,0,25,True
50000,100,0.01,torch,200,relu,3,0.6100546609180577,0.6578378843153874,0.021451298171452755,0.023604520364540027,0,25,True
50000,100,0.01,torch,200,relu,4,0.6159678400086073,0.6865607164922658,0.021214750987529382,0.03149367692125154,0,25,True
50000,100,0.01,torch,200,relu,5,0.641420418863113,0.6564694464003653,0.01733481626611382,0.027367962083350912,0,25,True
50000,100,0.01,torch,200,relu,6,0.605947126050907,0.6671023044469913,0.017214956440570816,0.02521391010707012,0,25,True
50000,100,0.01,torch,200,relu,7,0.614813031675095,0.6604942128268454,0.02483930629642482,0.021775236734148905,0,25,True
50000,100,0.01,torch,200,relu,8,0.6148083826902889,0.6543025872980902,0.015052693495195316,0.018304217261069948,0,25,True
50000,100,0.01,torch,200,relu,9,0.6360663967611336,0.6776855600539811,0.024874699194178344,0.045463562046304175,0,25,True
