n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.005,torch,25,relu,0,0.657780282,0.676327834,0.02460428,0.022222749,0,25,TRUE
50000,100,0.005,torch,25,relu,1,0.619815256,0.671034179,0.011978037,0.015667963,0,25,TRUE
50000,100,0.005,torch,25,relu,2,0.725033904,0.734455235,0.039721015,0.037052502,0,25,TRUE
50000,100,0.005,torch,25,relu,3,0.656543254,0.656871747,0.011906502,0.01246055,0,25,TRUE
50000,100,0.005,torch,25,relu,4,0.672692611,0.703242112,0.014211971,0.014070779,0,25,TRUE
50000,100,0.005,torch,25,relu,5,0.628919241,0.655295614,0.01050574,0.011153778,0,25,TRUE
50000,100,0.005,torch,25,relu,6,0.687116217,0.710939729,0.014643994,0.023369325,0,25,TRUE
50000,100,0.005,torch,25,relu,7,0.688002653,0.712030513,0.017081602,0.028767623,0,25,TRUE
50000,100,0.005,torch,25,relu,8,0.644057604,0.648839409,0.009831899,0.011898941,0,25,TRUE
50000,100,0.005,torch,25,relu,9,0.701073388,0.666719708,0.012105955,0.032843008,0,25,TRUE
50000,100,0.005,torch,25,relu,0,0.657780282,0.672918578,0.02460428,0.01438506,5,25,TRUE
50000,100,0.005,torch,25,relu,1,0.619815256,0.654330457,0.011978037,0.013039301,5,25,TRUE
50000,100,0.005,torch,25,relu,2,0.725033904,0.706654408,0.039721015,0.018582254,5,25,TRUE
50000,100,0.005,torch,25,relu,3,0.656543254,0.648175482,0.011906502,0.01056066,5,25,TRUE
50000,100,0.005,torch,25,relu,4,0.672692611,0.713847599,0.014211971,0.018898559,5,25,TRUE
50000,100,0.005,torch,25,relu,5,0.628919241,0.616378116,0.01050574,0.010167583,5,25,TRUE
50000,100,0.005,torch,25,relu,6,0.687116217,0.692246747,0.014643994,0.023397378,5,25,TRUE
50000,100,0.005,torch,25,relu,7,0.688002653,0.713250101,0.017081602,0.035846466,5,25,TRUE
50000,100,0.005,torch,25,relu,8,0.644057604,0.624843673,0.009831899,0.008567779,5,25,TRUE
50000,100,0.005,torch,25,relu,9,0.701073388,0.696914549,0.012105955,0.017782595,5,25,TRUE
50000,100,0.005,torch,25,relu,0,0.657780282,0.662037827,0.02460428,0.014922903,10,25,TRUE
50000,100,0.005,torch,25,relu,1,0.619815256,0.664548708,0.011978037,0.013224582,10,25,TRUE
