n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.005,torch,1,relu,0,0.5,0.468640644,0.006,0.005790837,0,25,TRUE
50000,100,0.005,torch,1,relu,1,0.681371259,0.492266831,0.01413527,0.006475567,0,25,TRUE
50000,100,0.005,torch,1,relu,2,0.735201701,0.5,0.021692562,0.0056,0,25,TRUE
50000,100,0.005,torch,1,relu,3,0.446533785,0.513023454,0.005509603,0.006038154,0,25,TRUE
50000,100,0.005,torch,1,relu,4,0.507606653,0.74916261,0.005994793,0.018984563,0,25,TRUE
50000,100,0.005,torch,1,relu,5,0.648091898,0.5,0.011896488,0.00576,0,25,TRUE
50000,100,0.005,torch,1,relu,6,0.500048711,0.715581163,0.006576476,0.018982332,0,25,TRUE
50000,100,0.005,torch,1,relu,7,0.725147473,0.743111511,0.026234794,0.029041184,0,25,TRUE
50000,100,0.005,torch,1,relu,8,0.654780889,0.688982462,0.011570295,0.016408221,0,25,TRUE
50000,100,0.005,torch,1,relu,9,0.722173472,0.5,0.014878142,0.00416,0,25,TRUE
50000,100,0.005,torch,5,relu,0,0.646506237,0.684213011,0.011423012,0.034204094,0,25,TRUE
50000,100,0.005,torch,5,relu,1,0.602382851,0.689454529,0.009419613,0.016056388,0,25,TRUE
50000,100,0.005,torch,5,relu,2,0.663747845,0.726972762,0.01752627,0.02032291,0,25,TRUE
50000,100,0.005,torch,5,relu,3,0.604981861,0.691674998,0.008426054,0.01300328,0,25,TRUE
50000,100,0.005,torch,5,relu,4,0.650911776,0.690900401,0.01323604,0.014862471,0,25,TRUE
50000,100,0.005,torch,5,relu,5,0.570518408,0.633411785,0.01225009,0.012195773,0,25,TRUE
50000,100,0.005,torch,5,relu,6,0.67800135,0.678339343,0.03050045,0.021927319,0,25,TRUE
50000,100,0.005,torch,5,relu,7,0.663084978,0.70912511,0.016369867,0.024561059,0,25,TRUE
50000,100,0.005,torch,5,relu,8,0.642377663,0.681249656,0.019383715,0.015603701,0,25,TRUE
50000,100,0.005,torch,5,relu,9,0.608880636,0.712298547,0.013742505,0.02762592,0,25,TRUE
50000,100,0.005,torch,10,relu,0,0.619526224,0.666707445,0.010414381,0.019752335,0,25,TRUE
50000,100,0.005,torch,10,relu,1,0.599155828,0.657448472,0.009888187,0.012329791,0,25,TRUE
50000,100,0.005,torch,10,relu,2,0.703794966,0.710903344,0.018186536,0.03318816,0,25,TRUE
50000,100,0.005,torch,10,relu,3,0.609542192,0.674027278,0.010184791,0.011169865,0,25,TRUE
