n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.005,torch,1,relu,0,0.5,0.497431522,0.006,0.005972724,25,25,TRUE
50000,100,0.005,torch,1,relu,1,0.681371259,0.503060074,0.01413527,0.006600129,25,25,TRUE
50000,100,0.005,torch,1,relu,2,0.735201701,0.512573267,0.021692562,0.005779252,25,25,TRUE
50000,100,0.005,torch,1,relu,3,0.446533785,0.472228499,0.005509603,0.005679402,25,25,TRUE
50000,100,0.005,torch,1,relu,4,0.507606653,0.650078736,0.005994793,0.013171572,25,25,TRUE
50000,100,0.005,torch,1,relu,5,0.648091898,0.527258677,0.011896488,0.006225106,25,25,TRUE
50000,100,0.005,torch,1,relu,6,0.500048711,0.657872893,0.006576476,0.011308635,25,25,TRUE
50000,100,0.005,torch,1,relu,7,0.725147473,0.677723816,0.026234794,0.019445553,25,25,TRUE
50000,100,0.005,torch,1,relu,8,0.654780889,0.626243037,0.011570295,0.015816068,25,25,TRUE
50000,100,0.005,torch,1,relu,9,0.722173472,0.49609375,0.014878142,0.004128237,25,25,TRUE
50000,100,0.005,torch,5,relu,0,0.646506237,0.666448826,0.011423012,0.012799833,25,25,TRUE
50000,100,0.005,torch,5,relu,1,0.602382851,0.632763612,0.009419613,0.011642852,25,25,TRUE
50000,100,0.005,torch,5,relu,2,0.663747845,0.685613148,0.01752627,0.014601122,25,25,TRUE
50000,100,0.005,torch,5,relu,3,0.604981861,0.656071457,0.008426054,0.009521524,25,25,TRUE
50000,100,0.005,torch,5,relu,4,0.650911776,0.632060718,0.01323604,0.010362523,25,25,TRUE
50000,100,0.005,torch,5,relu,5,0.570518408,0.581454735,0.01225009,0.009411953,25,25,TRUE
50000,100,0.005,torch,5,relu,6,0.67800135,0.650098068,0.03050045,0.01393154,25,25,TRUE
50000,100,0.005,torch,5,relu,7,0.663084978,0.696383407,0.016369867,0.017115281,25,25,TRUE
50000,100,0.005,torch,5,relu,8,0.642377663,0.627271587,0.019383715,0.010663103,25,25,TRUE
