n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,1,relu,0,0.6943518096079524,0.4866678253564781,0.028111749072841162,0.010524290177021868,25,25,True
50000,100,0.01,torch,1,relu,1,0.6759654205039418,0.5038800420337888,0.028113596341064577,0.010399871009351821,25,25,True
50000,100,0.01,torch,1,relu,2,0.7568945003670267,0.5003237817710863,0.043860861984170565,0.011687479987191803,25,25,True
50000,100,0.01,torch,1,relu,3,0.4827834076476152,0.6757253933743598,0.012902935877053523,0.03180897729728125,25,25,True
50000,100,0.01,torch,1,relu,4,0.737269595864585,0.6832585357053392,0.05434206588532776,0.028517257424282478,25,25,True
50000,100,0.01,torch,1,relu,5,0.6989201334043809,0.4789126282185472,0.03417299653998805,0.010445450009547507,25,25,True
50000,100,0.01,torch,1,relu,6,0.7107763773134431,0.674285233166318,0.03573873688209587,0.029147793736867274,25,25,True
50000,100,0.01,torch,1,relu,7,0.7253665373005607,0.6540350954565055,0.03507711816694455,0.024942480016580344,25,25,True
50000,100,0.01,torch,1,relu,8,0.7037570533079807,0.5666209354955969,0.030351082277768553,0.020581871541948134,25,25,True
50000,100,0.01,torch,1,relu,9,0.7185611336032389,0.48785425101214575,0.06623394876416014,0.011819999999999999,25,25,True
50000,100,0.01,torch,5,relu,0,0.7142073475417672,0.6582522853949562,0.023480909826861643,0.022018023189136718,25,25,True
50000,100,0.01,torch,5,relu,1,0.5747381190944814,0.6355010060412605,0.014431217326670683,0.016894574608407452,25,25,True
50000,100,0.01,torch,5,relu,2,0.6832288804469074,0.7129713408778922,0.027285605424914688,0.03140905488555863,25,25,True
50000,100,0.01,torch,5,relu,3,0.6654879561729988,0.6416518652270577,0.025819545333806697,0.02461500688965466,25,25,True
50000,100,0.01,torch,5,relu,4,0.7008575780348737,0.7016267465232551,0.040150125851715714,0.032560382968813556,25,25,True
50000,100,0.01,torch,5,relu,5,0.6461554655831921,0.7030688003121016,0.021077845605603607,0.038319066047579266,25,25,True
50000,100,0.01,torch,5,relu,6,0.6563327378842376,0.7084601857994239,0.028169017939593602,0.030337158292123023,25,25,True
50000,100,0.01,torch,5,relu,7,0.6770282057313104,0.6970018547375436,0.03279445430682164,0.0346931052175839,25,25,True
50000,100,0.01,torch,5,relu,8,0.6582708926959111,0.69194162456128,0.022425595160404987,0.0270473636712529,25,25,True
50000,100,0.01,torch,5,relu,9,0.6827152496626181,0.6712545209176789,0.040603275746166595,0.025783766829188377,25,25,True
50000,100,0.01,torch,10,relu,0,0.5933855709323349,0.6522596865261273,0.017258088689285106,0.02432714809763957,25,25,True
50000,100,0.01,torch,10,relu,1,0.591497745101541,0.639861040355069,0.016313865955779897,0.02049024731669434,25,25,True
50000,100,0.01,torch,10,relu,2,0.644189891355692,0.7081345734618701,0.020438559523228084,0.03502329514786286,25,25,True
50000,100,0.01,torch,10,relu,3,0.6218884425937526,0.648248025451106,0.021104453824859724,0.020554342214366417,25,25,True
50000,100,0.01,torch,10,relu,4,0.621966321777059,0.6737850751426806,0.020076448962150314,0.027029027171678315,25,25,True
50000,100,0.01,torch,10,relu,5,0.6502506089786286,0.6786525634194149,0.01857411297644934,0.028048941487789268,25,25,True
50000,100,0.01,torch,10,relu,6,0.6340578291724294,0.7073597400974635,0.02472615239660573,0.031232737985692895,25,25,True
50000,100,0.01,torch,10,relu,7,0.6154782380728372,0.6774649388451135,0.015844650136608858,0.024222182389413944,25,25,True
50000,100,0.01,torch,10,relu,8,0.6504317923595001,0.6837760493328866,0.01977156731510613,0.023452576407396477,25,25,True
50000,100,0.01,torch,10,relu,9,0.709420782726046,0.7080901484480432,0.03771310290244183,0.043567926987664624,25,25,True
50000,100,0.01,torch,25,relu,0,0.6069138779658234,0.6244251812263284,0.016218792398825167,0.015894052624836327,25,25,True
50000,100,0.01,torch,25,relu,1,0.5849915312067043,0.6108954487833825,0.014791535486463373,0.015750495064535377,25,25,True
50000,100,0.01,torch,25,relu,2,0.6564814013984711,0.6603989390602788,0.02211647114888895,0.025440013452284704,25,25,True
50000,100,0.01,torch,25,relu,3,0.617864416356512,0.6459539865620125,0.021629524747949526,0.02336168410860226,25,25,True
50000,100,0.01,torch,25,relu,4,0.599007552577054,0.6278512350438706,0.020023541003642856,0.024594987940557672,25,25,True
50000,100,0.01,torch,25,relu,5,0.631727310788437,0.6656225617066627,0.018583464538589993,0.022624739281069953,25,25,True
50000,100,0.01,torch,25,relu,6,0.5914799117712832,0.63636865789063,0.01864708768481874,0.021442972607148107,25,25,True
50000,100,0.01,torch,25,relu,7,0.6088047355835196,0.6334614743815908,0.02046511140188978,0.021236831701200554,25,25,True
50000,100,0.01,torch,25,relu,8,0.6258517507756093,0.6197135290824944,0.017680456414406943,0.022459039510103043,25,25,True
50000,100,0.01,torch,25,relu,9,0.6263130904183536,0.6624577597840755,0.025387615642026462,0.02580304413015157,25,25,True
50000,100,0.01,torch,50,relu,0,0.5899728673469141,0.5988627942287592,0.01623983009053029,0.01699551776650221,25,25,True
50000,100,0.01,torch,50,relu,1,0.5644740544120752,0.6242619178762032,0.014135840995310761,0.015246183339182932,25,25,True
50000,100,0.01,torch,50,relu,2,0.6344021458304226,0.6557157462171865,0.02096132097808065,0.025271253844456394,25,25,True
50000,100,0.01,torch,50,relu,3,0.6262200439744016,0.649698198032207,0.020523788526012422,0.03484360489094364,25,25,True
50000,100,0.01,torch,50,relu,4,0.5978794750200919,0.6358336335562862,0.021818970500891998,0.03223121488468165,25,25,True
50000,100,0.01,torch,50,relu,5,0.6155507212590633,0.663581531771557,0.01638561882866582,0.029151118611214867,25,25,True
50000,100,0.01,torch,50,relu,6,0.5816311372505697,0.6283764832822885,0.017613050846798522,0.021611694680363593,25,25,True
50000,100,0.01,torch,50,relu,7,0.5996734608373515,0.6153465443568937,0.015483113628913666,0.019463513025332523,25,25,True
50000,100,0.01,torch,50,relu,8,0.5968454749283946,0.6368975874801507,0.013148942027173507,0.01748538257915053,25,25,True
50000,100,0.01,torch,50,relu,9,0.6092825910931174,0.6487433198380567,0.018134570684322587,0.03316228948959443,25,25,True
50000,100,0.01,torch,100,relu,0,0.5792543831063026,0.5844693924844482,0.014885867103291622,0.013854628797282394,25,25,True
