,n,p,er,model,activation,iter,auc_single,auc_multi,ap_single,ap_multi,config_single,config_multi,n_distinct,n_random_features,shared_second_layer_weights,,
0,50000,100,0.01,torch,relu,0,0.700468424,0.716065777,0.025163584,0.031155024,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
1,50000,100,0.01,torch,relu,1,0.664509521,0.668564077,0.027364629,0.029081782,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
2,50000,100,0.01,torch,relu,2,0.762885018,0.770004613,0.037909301,0.044830977,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
3,50000,100,0.01,torch,relu,3,0.675518542,0.68345457,0.029557418,0.029276168,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
4,50000,100,0.01,torch,relu,4,0.73182021,0.747180757,0.050411148,0.049099126,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
5,50000,100,0.01,torch,relu,5,0.680704893,0.683097394,0.027148329,0.026624569,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
6,50000,100,0.01,torch,relu,6,0.701443504,0.718903158,0.033536012,0.034683026,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
7,50000,100,0.01,torch,relu,7,0.707699978,0.731477738,0.028533177,0.036672364,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
8,50000,100,0.01,torch,relu,8,0.699704815,0.715534836,0.024391071,0.033893463,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
9,50000,100,0.01,torch,relu,9,0.716357895,0.718782726,0.038732277,0.050602224,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",0,25,TRUE,,
10,50000,100,0.01,torch,relu,0,0.700468424,0.693766732,0.025163584,0.030399566,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
11,50000,100,0.01,torch,relu,1,0.664509521,0.650721022,0.027364629,0.022368266,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
12,50000,100,0.01,torch,relu,2,0.762885018,0.757254042,0.037909301,0.042940192,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
13,50000,100,0.01,torch,relu,3,0.675518542,0.675929788,0.029557418,0.029145878,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
14,50000,100,0.01,torch,relu,4,0.73182021,0.746102128,0.050411148,0.047313266,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
15,50000,100,0.01,torch,relu,5,0.680704893,0.652039781,0.027148329,0.020898405,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
16,50000,100,0.01,torch,relu,6,0.701443504,0.698741191,0.033536012,0.031025023,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
17,50000,100,0.01,torch,relu,7,0.707699978,0.702743394,0.028533177,0.026024931,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
18,50000,100,0.01,torch,relu,8,0.699704815,0.70260174,0.024391071,0.025806153,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
19,50000,100,0.01,torch,relu,9,0.716357895,0.71374332,0.038732277,0.046452486,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",5,25,TRUE,,
20,50000,100,0.01,torch,relu,0,0.700468424,0.68684537,0.025163584,0.031163678,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
21,50000,100,0.01,torch,relu,1,0.664509521,0.65885144,0.027364629,0.021687293,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
22,50000,100,0.01,torch,relu,2,0.762885018,0.747971929,0.037909301,0.041183746,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
23,50000,100,0.01,torch,relu,3,0.675518542,0.657239439,0.029557418,0.023271619,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",10,25,TRUE,,
24,50000,100,0.01,torch,relu,4,0.73182021,0.737951822,0.050411148,0.04610847,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
25,50000,100,0.01,torch,relu,5,0.680704893,0.6792663,0.027148329,0.027051481,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
26,50000,100,0.01,torch,relu,6,0.701443504,0.709664133,0.033536012,0.031596114,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
27,50000,100,0.01,torch,relu,7,0.707699978,0.712776924,0.028533177,0.03018309,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
28,50000,100,0.01,torch,relu,8,0.699704815,0.677577964,0.024391071,0.020646764,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",10,25,TRUE,,
29,50000,100,0.01,torch,relu,9,0.716357895,0.693160054,0.038732277,0.045453107,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",10,25,TRUE,,
30,50000,100,0.01,torch,relu,0,0.700468424,0.699927099,0.025163584,0.026432,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
31,50000,100,0.01,torch,relu,1,0.664509521,0.659207674,0.027364629,0.021532171,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
32,50000,100,0.01,torch,relu,2,0.762885018,0.761074556,0.037909301,0.044663735,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
33,50000,100,0.01,torch,relu,3,0.675518542,0.661345027,0.029557418,0.025170219,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",15,25,TRUE,,
34,50000,100,0.01,torch,relu,4,0.73182021,0.74148603,0.050411148,0.043212073,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
35,50000,100,0.01,torch,relu,5,0.680704893,0.653592855,0.027148329,0.022963179,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
36,50000,100,0.01,torch,relu,6,0.701443504,0.703135466,0.033536012,0.028677223,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",15,25,TRUE,,
37,50000,100,0.01,torch,relu,7,0.707699978,0.708567932,0.028533177,0.029253803,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
38,50000,100,0.01,torch,relu,8,0.699704815,0.696665636,0.024391071,0.023020188,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
39,50000,100,0.01,torch,relu,9,0.716357895,0.728288259,0.038732277,0.05389876,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",15,25,TRUE,,
40,50000,100,0.01,torch,relu,0,0.700468424,0.669605032,0.025163584,0.024624349,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
41,50000,100,0.01,torch,relu,1,0.664509521,0.638979384,0.027364629,0.020606085,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",20,25,TRUE,,
42,50000,100,0.01,torch,relu,2,0.762885018,0.752146717,0.037909301,0.045054363,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
43,50000,100,0.01,torch,relu,3,0.675518542,0.667922517,0.029557418,0.026246538,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",20,25,TRUE,,
44,50000,100,0.01,torch,relu,4,0.73182021,0.738878574,0.050411148,0.0523863,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
45,50000,100,0.01,torch,relu,5,0.680704893,0.66610011,0.027148329,0.024307185,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
46,50000,100,0.01,torch,relu,6,0.701443504,0.706204862,0.033536012,0.033079918,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
47,50000,100,0.01,torch,relu,7,0.707699978,0.705880155,0.028533177,0.02723318,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
48,50000,100,0.01,torch,relu,8,0.699704815,0.697158126,0.024391071,0.026134966,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
49,50000,100,0.01,torch,relu,9,0.716357895,0.715007827,0.038732277,0.045922786,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",20,25,TRUE,,
50,50000,100,0.01,torch,relu,0,0.700468424,0.664902682,0.025163584,0.020143051,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
51,50000,100,0.01,torch,relu,1,0.664509521,0.665690077,0.027364629,0.031029301,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
52,50000,100,0.01,torch,relu,2,0.762885018,0.763498761,0.037909301,0.047901694,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
53,50000,100,0.01,torch,relu,3,0.675518542,0.671041505,0.029557418,0.026826495,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
54,50000,100,0.01,torch,relu,4,0.73182021,0.73164388,0.050411148,0.04256508,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
55,50000,100,0.01,torch,relu,5,0.680704893,0.651911027,0.027148329,0.022121459,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 1e-05, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
56,50000,100,0.01,torch,relu,6,0.701443504,0.700444147,0.033536012,0.030909381,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
57,50000,100,0.01,torch,relu,7,0.707699978,0.682177124,0.028533177,0.030723389,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [25]}",25,25,TRUE,,
58,50000,100,0.01,torch,relu,8,0.699704815,0.662293508,0.024391071,0.027647828,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
59,50000,100,0.01,torch,relu,9,0.716357895,0.721960594,0.038732277,0.050003377,"{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'batch_size': 200, 'regularization': 0.0001, 'hidden_layers': [200]}",25,25,TRUE,,
