,n,p,er,model,activation,iter,auc_single,auc_multi,auc_combined,ap_single,ap_multi,ap_combined,config_single,config_multi,config_combined,n_distinct,n_random_features,shared_second_layer_weights
0,50000,10,0.01,torch,relu,0,0.7477504802345567,0.7502910161123215,0.7706282887139545,0.055622366026214023,0.05673434534755494,0.06538146568159835,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
1,50000,10,0.01,torch,relu,1,0.7323570506009949,0.7286944239821487,0.7528058208195081,0.03637670489727156,0.0373575717602235,0.04139933286520493,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
2,50000,10,0.01,torch,relu,2,0.6780383241553113,0.6925459990965747,0.7307922409307321,0.02279445623216088,0.02459657142118,0.03208786774824507,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
3,50000,10,0.01,torch,relu,3,0.6858759790927201,0.6941636339129263,0.7059398915696935,0.018467823104732658,0.01925057456433195,0.022510454487726227,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
4,50000,10,0.01,torch,relu,4,0.7154393418301976,0.7079149674712779,0.7221278717733033,0.05079805816617444,0.04513927142023243,0.03946459488315099,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
5,50000,10,0.01,torch,relu,5,0.7816502838759266,0.7856845708580461,0.8118901025756837,0.04310771821018032,0.052232008808244655,0.0535877936759122,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
6,50000,10,0.01,torch,relu,6,0.6362497597202824,0.629353390198774,0.6137768874142623,0.03239473839180748,0.03339515476651932,0.024261808848052527,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
7,50000,10,0.01,torch,relu,7,0.5981641708564494,0.5912072353213129,0.5922519720873787,0.026979801414432545,0.027090544275342895,0.018821621752336627,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
8,50000,10,0.01,torch,relu,8,0.6691582876232487,0.6732441815867845,0.6826850108273911,0.01991649333817026,0.020214366770978036,0.01859166429491835,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
9,50000,10,0.01,torch,relu,9,0.7359276973901117,0.7336349405933205,0.750566576386022,0.026024382671685543,0.02533377853242002,0.02649318989110047,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,True
