,lr,batch,hidden
0,0.001,256,[20]
1,0.001,32,[1000]
2,0.001,32,[50]
3,0.001,64,[50]
4,0.001,32,[1000]
5,0.001,32,[1000]
6,0.0001,64,[1000]
7,0.001,64,[1000]
8,0.001,64,[1000]
0,0.001,64,[20]
1,0.001,32,[1000]
2,0.001,32,[200]
3,0.001,32,[200]
4,0.001,32,[1000]
5,0.001,32,[1000]
6,0.001,32,[20]
7,0.001,32,[200]
8,0.001,32,[50]
0,0.001,256,[1000]
1,0.001,32,[200]
2,0.001,64,[200]
3,0.0001,64,[1000]
4,0.001,32,[1000]
5,0.001,64,[1000]
6,0.0001,256,[1000]
7,0.001,32,[20]
8,0.0001,32,[1000]
0,0.001,256,[20]
1,0.001,32,[200]
2,0.001,32,[50]
3,0.001,64,[1000]
4,0.001,64,[1000]
5,0.001,32,[200]
6,0.001,64,[20]
7,0.001,32,[1000]
8,0.001,32,[1000]
0,0.001,64,[50]
1,0.001,64,[200]
2,0.001,32,[50]
3,0.001,32,[20]
4,0.001,32,[200]
5,0.001,32,[20]
6,0.001,64,[20]
7,0.001,32,[50]
8,0.001,32,[20]
