,tool,method,AUC,AP,method-tool
0,sklearn,single,0.7182774892274215,0.050491073758520064,singlesklearn
1,sklearn,multi,0.7375608208105157,0.05938157046726823,multisklearn
2,torch,single,0.7176101029542314,0.04631493936883979,singletorch
3,torch,multi,0.7419846219971205,0.05835364706127334,multitorch
4,sklearn,single,0.7617093524458701,0.03404348033253928,singlesklearn
5,sklearn,multi,0.736988912278357,0.04124135219223931,multisklearn
6,torch,single,0.7595785440613028,0.033736732545150944,singletorch
7,torch,multi,0.7753330214737594,0.04462248701625303,multitorch
8,sklearn,single,0.7058522479945277,0.028033445536389513,singlesklearn
9,sklearn,multi,0.7248221503637834,0.032750209371495205,multisklearn
10,torch,single,0.704279895528885,0.029108941116517295,singletorch
11,torch,multi,0.725693364840495,0.033365539102675756,multitorch
12,sklearn,single,0.49991900866607275,0.01224,singlesklearn
13,sklearn,multi,0.49991900866607275,0.01224,multisklearn
14,torch,single,0.5020652790151454,0.01229014378664953,singletorch
15,torch,multi,0.7637154589164842,0.03875664215432306,multitorch
16,sklearn,single,0.7142625918770633,0.028661435087546556,singlesklearn
17,sklearn,multi,0.7393186550902774,0.03804594992698565,multisklearn
18,torch,single,0.49154133976067266,0.009265137880986938,singletorch
19,torch,multi,0.7383205953019406,0.038177565606546754,multitorch
20,sklearn,single,0.6679310316506466,0.025541174424355023,singlesklearn
21,sklearn,multi,0.6921583819048428,0.031200505790471556,multisklearn
22,torch,single,0.6794348822374743,0.026052803793739435,singletorch
23,torch,multi,0.6914503420766612,0.03288256051434147,multitorch
24,sklearn,single,0.7417390152512551,0.03528166676861681,singlesklearn
25,sklearn,multi,0.7457788093413467,0.04764107859295924,multisklearn
26,torch,single,0.5111964451099078,0.012353584963179171,singletorch
27,torch,multi,0.5033614004190489,0.012161985207024988,multitorch
28,sklearn,single,0.7283852591905249,0.04089047115813397,singlesklearn
29,sklearn,multi,0.708635470317159,0.049711361763545465,multisklearn
30,torch,single,0.727721578705924,0.030660008580631712,singletorch
31,torch,multi,0.4990694789081886,0.00990175662727563,multitorch
32,sklearn,single,0.4999191265669228,0.0108,singlesklearn
33,sklearn,multi,0.49987868985038414,0.0108,multisklearn
34,torch,single,0.7230093903041741,0.038021819977293356,singletorch
35,torch,multi,0.5003234937323089,0.010806916426512969,multitorch
36,sklearn,single,0.6982028249326138,0.03614530783170908,singlesklearn
37,sklearn,multi,0.7036904990291735,0.03240803465518205,multisklearn
38,torch,single,0.6914197722646376,0.02978714914255566,singletorch
39,torch,multi,0.49812399302566823,0.011397831863423458,multitorch
